date,close,change%,open,volume
2017-09-03,0.228811,0.695,0.227229,186526000.0
2017-09-02,0.226669,-9.096,0.249348,329928000.0
2017-09-01,0.248479,-2.862,0.255803,283576000.0
2017-08-31,0.25563,12.335,0.227558,432574016.0
2017-08-30,0.228006,4.171,0.218871,181186000.0
2017-08-29,0.218564,-2.437,0.224026,269769984.0
2017-08-28,0.224508,10.363,0.203425,542467968.0
2017-08-27,0.202995,-4.525,0.212617,193971008.0
2017-08-26,0.212577,-2.602,0.218256,184120992.0
2017-08-25,0.217828,0.29,0.2172,504484000.0
2017-08-24,0.218958,-13.238,0.252371,1342360064.0
2017-08-23,0.246827,2.423,0.240987,1770400000.0
2017-08-22,0.239286,22.726,0.194971,1450040064.0
2017-08-21,0.191918,21.154,0.15841,447088992.0
2017-08-20,0.158735,2.698,0.154569,68542800.0
2017-08-19,0.155057,-2.82,0.159553,87062096.0
2017-08-18,0.158883,1.127,0.157117,146539008.0
2017-08-17,0.157498,-2.046,0.160787,56084300.0
2017-08-16,0.160431,-0.502,0.161238,107920000.0
2017-08-15,0.161221,-5.047,0.16979,100614000.0
2017-08-14,0.169991,0.962,0.168376,84388304.0
2017-08-13,0.168092,-3.14,0.173545,110199000.0
2017-08-12,0.173853,-2.996,0.179221,65229300.0
2017-08-11,0.179307,-0.483,0.180175,54059700.0
2017-08-10,0.180399,-1.512,0.183168,48162800.0
2017-08-09,0.182947,-4.976,0.192527,97805400.0
2017-08-08,0.192586,7.227,0.179602,180028000.0
2017-08-07,0.179021,-0.384,0.179716,58052100.0
2017-08-06,0.180444,-2.67,0.185398,74161600.0
2017-08-05,0.184737,6.252,0.173865,114270000.0
2017-08-04,0.173743,-0.464,0.174555,45170000.0
2017-08-03,0.174612,0.802,0.173218,31479000.0
2017-08-02,0.173113,-2.49,0.177531,53441400.0
2017-08-01,0.177053,5.374,0.168024,119957000.0
2017-07-31,0.167386,1.418,0.16505,57273800.0
2017-07-30,0.165082,-2.602,0.169494,40621700.0
2017-07-29,0.169871,2.814,0.165218,80897000.0
2017-07-28,0.165937,-4.197,0.173211,74649800.0
2017-07-27,0.173457,-0.999,0.17521,34575100.0
2017-07-26,0.173822,-2.117,0.177582,76584600.0
2017-07-25,0.178104,-7.375,0.19228,166807008.0
2017-07-24,0.192002,-1.528,0.194979,56632800.0
2017-07-23,0.195058,0.77,0.193568,195682000.0
2017-07-22,0.19332,6.121,0.182168,83913800.0
2017-07-21,0.182608,-3.6,0.18943,104722000.0
2017-07-20,0.188295,10.752,0.170017,183292000.0
2017-07-19,0.168388,-10.669,0.188498,147778000.0
2017-07-18,0.188718,5.037,0.179668,295840992.0
2017-07-17,0.177889,18.475,0.150146,312684992.0
2017-07-16,0.148056,-12.639,0.16948,257944000.0
2017-07-15,0.170589,-10.677,0.190976,131779000.0
2017-07-14,0.190769,-5.005,0.200819,97037600.0
2017-07-13,0.200809,-2.458,0.205873,216750000.0
2017-07-12,0.205354,11.488,0.184198,153023008.0
2017-07-11,0.185019,-5.804,0.196415,271415008.0
2017-07-10,0.203165,-13.201,0.234067,119367000.0
2017-07-09,0.233416,-1.465,0.236884,82755000.0
2017-07-08,0.236134,-1.506,0.239741,124578000.0
